order,B_time,B_merge,BPlus_time,BPlus_merge,BStar_time,BStar_merge
4,578,648,632,18,990,3075
5,806,2177,863,819,1536,3451
6,621,374,671,25,762,534
7,650,1239,721,411,777,1266
8,564,260,580,27,785,1616
9,586,868,720,291,600,312
10,587,231,607,39,603,641
11,517,612,546,209,615,939
12,515,164,534,34,532,228
13,628,443,726,180,575,415
14,459,151,614,36,545,628
15,620,367,504,146,561,161
16,377,133,303,36,343,280
17,427,309,337,135,375,437
18,379,120,368,29,375,141
19,582,277,431,117,399,237
20,421,98,367,39,520,299
21,408,240,344,118,326,121
22,399,100,314,39,388,168
23,550,222,418,134,380,275
24,391,101,340,33,330,89
25,369,192,308,86,371,137
26,433,97,324,51,348,187
27,405,171,380,84,435,83
28,402,85,332,33,306,127
29,415,159,305,82,331,164
30,382,94,291,34,322,74
31,419,159,397,82,389,96
32,352,78,304,53,331,166
33,394,131,315,92,307,50
34,378,83,292,42,348,82
35,383,128,290,75,335,142
36,375,64,285,46,356,45
37,376,106,307,73,378,82
38,382,83,294,34,318,129
39,389,113,298,83,289,49
40,372,50,287,34,326,58
41,416,117,351,69,335,108
42,368,67,308,43,295,40
43,379,98,294,72,286,61
44,395,71,274,40,460,74
45,368,102,317,69,398,22
46,415,70,288,41,291,56
47,376,79,318,59,349,95
48,373,61,302,42,370,28
49,479,98,314,69,286,29
50,381,66,276,36,342,56
51,383,82,292,58,301,19
52,395,68,287,38,290,32
53,349,81,310,55,321,56
54,403,50,301,42,289,31
55,474,88,304,54,273,29
56,372,55,378,34,284,41
57,498,68,323,50,285,26
58,423,69,305,40,281,24
59,377,63,318,47,314,45
60,368,68,295,50,299,18
61,375,62,292,40,309,21
62,473,44,313,36,304,56
63,399,56,323,67,321,24
64,431,44,378,33,331,27
65,386,44,305,43,298,52
66,388,52,288,44,271,17
67,396,68,286,56,301,20
68,359,44,282,32,334,46
69,449,53,291,43,300,22
70,371,38,320,33,290,14
71,385,50,338,41,285,30
72,397,30,281,28,342,9
73,441,63,352,45,348,20
74,374,44,281,31,299,40
75,348,59,264,61,283,27
76,426,38,262,33,297,12
77,381,69,279,57,293,27
78,379,47,273,37,273,18
79,440,62,308,47,320,14
80,356,30,306,35,304,31
81,427,69,329,44,307,16
82,403,43,465,49,337,17
83,399,61,285,44,290,34
84,363,46,284,33,329,11
85,395,53,288,45,286,11
86,460,52,323,40,300,25
87,379,59,279,48,275,9
88,421,44,364,46,338,12
89,413,51,271,43,311,20
90,367,42,300,49,349,11
91,373,55,354,54,274,11
92,424,52,283,48,293,32
93,385,59,312,55,287,10
94,340,45,308,38,322,11
95,402,62,360,49,307,21
96,502,44,362,35,311,8
97,448,51,372,40,287,9
98,349,37,275,39,281,22
99,394,50,327,37,260,9
100,336,31,280,34,282,15
101,369,44,299,41,302,24
102,379,35,312,36,299,7
103,356,52,293,36,290,13
104,347,38,336,37,265,16
105,407,51,365,50,311,15
106,401,25,346,28,308,10
107,379,55,295,50,268,12
108,423,54,287,34,277,10
109,387,50,302,64,312,8
110,359,37,293,38,295,10
111,368,49,274,44,334,5
112,390,23,304,33,277,9
113,367,53,319,38,381,17
114,353,36,320,36,301,10
115,392,50,274,39,295,10
116,351,38,297,39,307,11
117,345,34,287,41,281,10
118,348,34,266,32,299,4
119,486,38,259,37,277,21
120,359,32,316,47,299,4
121,385,41,301,32,316,2
122,358,34,324,26,332,18
123,488,39,320,39,363,6
124,439,37,275,26,303,14
125,347,36,327,28,316,10
126,345,33,330,29,275,5
127,469,33,389,36,295,7
128,368,35,317,27,271,10
129,441,36,290,43,280,7
130,387,24,263,32,313,5
131,325,31,298,20,277,10
132,390,23,317,36,316,5
133,356,21,268,18,328,8
134,379,23,269,19,319,5
135,359,19,291,21,297,4
136,351,23,268,17,310,4
137,411,32,293,26,272,8
138,374,15,247,23,310,5
139,434,28,286,24,288,10
140,445,24,287,25,287,3
141,405,18,303,20,306,4
142,377,22,315,20,301,5
143,351,22,294,19,355,10
144,413,31,274,32,324,4
145,340,25,354,19,276,1
146,401,17,289,25,272,8
147,556,27,307,24,295,3
148,418,19,288,27,286,6
149,447,39,261,29,276,7
150,381,23,311,24,265,3
151,338,30,259,25,279,3
152,410,31,319,24,285,7
153,412,27,292,26,272,6
154,436,27,302,29,333,8
155,349,23,307,30,303,3
156,380,35,299,23,291,3
157,411,33,291,36,276,5
158,481,27,289,26,332,9
159,361,28,277,22,323,0
160,359,29,273,23,272,7
161,393,38,293,26,297,7
162,399,37,339,27,317,4
163,388,41,282,32,399,7
164,386,42,314,37,319,8
165,384,30,296,32,368,1
166,399,38,346,21,307,4
167,357,30,303,35,292,9
168,391,40,293,27,343,4
169,379,39,285,31,359,3
170,465,36,326,34,304,8
171,403,47,306,33,308,1
172,391,45,315,41,287,2
173,375,35,292,44,310,20
174,382,38,280,32,288,4
175,390,37,394,30,294,4
176,468,36,275,29,291,7
177,402,38,270,43,294,4
178,366,33,301,41,336,5
179,385,41,323,37,304,10
180,403,39,293,39,326,4
181,432,46,301,45,304,8
182,346,50,307,35,277,13
183,380,49,298,39,356,2
184,358,39,280,38,340,5
185,380,35,301,46,327,7
186,377,34,307,43,317,1
187,403,47,339,42,299,3
188,451,57,338,38,271,7
189,406,52,399,32,365,3
190,443,37,315,45,302,3
191,370,55,300,32,288,6
192,374,47,292,40,285,8
193,380,47,291,38,310,6
194,368,37,297,39,422,5
195,386,47,304,35,293,3
196,380,44,318,41,289,3
197,421,49,326,40,267,8
198,353,34,292,30,312,4
199,371,39,341,30,330,2
200,507,35,341,26,259,1
201,383,37,384,41,321,3
202,412,38,351,33,290,2
203,408,35,398,31,319,2
204,426,36,297,43,310,2
205,438,41,314,36,293,3
206,461,26,288,32,293,7
207,433,41,367,38,319,4
208,374,29,297,29,281,2
209,387,42,315,25,308,5
210,336,31,296,37,309,3
211,415,33,296,36,302,1
212,439,32,291,34,270,9
213,352,41,309,26,322,3
214,406,33,294,20,312,2
215,400,31,284,27,296,6
216,425,32,325,26,286,3
217,418,39,298,37,266,3
218,351,31,308,39,311,3
219,421,39,308,26,304,4
220,415,25,394,37,309,5
221,356,27,416,28,471,10
222,332,25,302,23,265,0
223,351,28,336,16,284,7
224,394,17,324,14,279,4
225,345,27,289,16,289,1
226,469,21,280,22,294,5
227,359,17,321,19,271,6
228,442,17,342,16,369,2
229,372,20,279,21,309,3
230,378,15,299,15,272,4
231,372,23,341,18,322,1
232,451,21,307,20,305,6
233,378,22,342,21,256,1
234,370,25,270,20,286,0
235,437,23,325,25,303,2
236,457,16,295,16,277,6
237,375,24,317,20,266,6
238,397,13,361,16,287,1
239,347,16,280,21,381,3
240,405,9,300,9,308,2
241,362,20,284,17,300,0
242,401,13,281,12,322,3
243,389,10,280,8,287,2
244,356,10,264,12,263,1
245,360,10,320,15,287,1
246,383,17,333,14,269,2
247,369,10,273,10,265,1
248,403,18,312,21,275,2
249,422,16,258,15,259,2
250,372,22,318,20,280,1
251,400,16,278,11,295,3
252,354,22,319,17,289,1
253,400,7,413,8,340,1
254,398,13,324,7,283,0
255,400,6,297,4,285,3
256,452,12,312,9,287,0
257,451,6,266,7,288,3
258,361,15,357,7,278,4
259,401,11,312,8,267,2
260,454,13,330,11,280,1
261,404,7,283,10,304,2
262,339,7,284,6,316,1
263,331,8,370,10,317,3
264,374,4,330,4,317,0
265,408,10,356,11,274,1
266,354,5,273,7,277,6
267,359,9,358,9,268,1
268,398,5,284,1,270,2
269,386,7,252,7,316,1
270,338,6,365,6,285,1
271,381,7,445,4,317,1
272,372,7,270,5,283,2
273,381,8,300,9,328,2
274,380,13,269,12,313,1
275,343,8,276,9,288,3
276,377,8,284,9,297,2
277,378,7,310,11,258,2
278,424,8,274,7,313,2
279,356,10,270,8,249,0
280,395,9,295,9,327,2
281,418,9,291,9,299,0
282,373,14,289,8,299,1
283,382,16,290,11,267,1
284,408,10,290,10,288,3
285,372,15,288,10,286,0
286,362,9,311,11,260,0
287,398,13,284,7,364,6
288,344,9,284,12,326,1
289,358,10,307,11,321,1
290,348,11,270,11,284,1
291,478,12,416,11,357,1
292,495,11,301,11,395,0
293,356,12,303,12,305,0
294,419,11,279,8,296,2
295,413,17,274,10,264,1
296,370,17,297,14,262,2
297,359,17,335,11,278,0
298,343,12,282,17,295,1
299,469,14,275,9,272,3
300,488,11,334,12,290,1
301,489,13,359,11,392,3
302,397,18,291,12,310,0
303,466,16,279,12,260,0
304,338,12,271,14,282,0
305,404,15,292,13,295,1
306,427,15,281,11,326,1
307,422,13,309,5,299,3
308,413,13,287,9,304,7
309,427,9,322,4,298,1
310,358,16,269,12,257,1
311,385,14,282,9,261,1
312,369,17,279,12,284,1
313,361,16,276,8,309,1
314,357,15,316,13,286,4
315,384,16,288,13,278,0
316,346,19,304,16,271,1
317,371,19,296,17,278,2
318,343,21,308,15,286,2
319,361,20,326,16,272,1
320,371,17,337,18,290,0
321,442,25,309,19,299,1
322,357,24,307,17,291,0
323,395,21,318,23,313,0
324,343,22,308,14,301,0
325,392,23,288,19,294,3
326,397,29,271,25,300,4
327,402,28,282,24,271,3
328,461,30,325,22,310,1
329,372,22,285,28,268,1
330,443,23,327,18,263,0
331,396,21,300,29,315,2
332,393,28,320,16,299,4
333,344,34,261,30,317,1
334,349,31,319,32,274,1
335,422,29,335,33,282,0
336,453,29,315,31,271,0
337,488,31,315,37,284,2
338,400,31,363,27,293,2
339,439,38,365,32,273,2
340,374,32,323,37,282,0
341,372,34,330,28,269,2
342,411,38,303,31,281,1
343,366,40,294,26,346,4
344,408,40,311,36,325,1
345,406,35,288,32,265,0
