order,B_time,B_split,B_util,BPlus_time,BPlus_split,BPlus_util,BStar_time,BStar_split,BStar_util
3,113,74357,0.448203,121,116779,0.475965,205,61366,0.542985
4,88,51931,0.481306,88,64805,0.550886,143,40001,0.624719
5,69,36767,0.543833,68,46812,0.573602,119,30019,0.665912
6,58,30110,0.553379,56,34977,0.604802,105,23741,0.701636
7,54,24452,0.584068,60,28730,0.612022,101,19714,0.724244
8,51,21176,0.590096,52,23818,0.628038,87,16836,0.741972
9,52,18304,0.606833,46,20704,0.630395,77,14621,0.759371
10,47,16381,0.61024,43,17939,0.643388,71,13005,0.768403
11,42,14610,0.621983,40,16111,0.643409,62,11667,0.778598
12,40,13336,0.624594,41,14450,0.650036,63,10603,0.785275
13,39,12170,0.63176,37,13213,0.650457,57,9684,0.793594
14,38,11201,0.637414,37,12055,0.656598,54,8932,0.798888
15,39,10395,0.641026,31,11159,0.657548,53,8265,0.805737
16,31,9768,0.639517,31,10339,0.661186,51,7713,0.809376
17,31,9084,0.647195,31,9671,0.661874,49,7214,0.814617
18,31,8574,0.647576,31,9039,0.665432,50,6779,0.818679
19,33,8087,0.650415,31,8477,0.669331,52,6453,0.81473
20,31,7660,0.652316,32,8072,0.665563,49,6066,0.823316
21,31,7250,0.656362,30,7651,0.666362,49,5771,0.824144
22,29,6921,0.656289,31,7275,0.666846,47,5489,0.827048
23,31,6631,0.655188,29,6933,0.667314,46,5235,0.829421
24,31,6281,0.662954,29,6554,0.67452,46,4993,0.833333
25,29,6016,0.664452,30,6256,0.676831,49,4781,0.835422
26,30,5785,0.66439,30,6012,0.675749,45,4585,0.837577
27,31,5569,0.66458,30,5747,0.679218,44,4423,0.83605
28,29,5377,0.663711,29,5573,0.674281,48,4250,0.838954
29,31,5194,0.663385,29,5365,0.675012,48,4090,0.841659
30,30,5026,0.662691,28,5167,0.676323,42,3943,0.843882
31,29,4845,0.665252,29,5002,0.67499,42,3816,0.843789
32,29,4659,0.670169,28,4819,0.677697,41,3690,0.84528
33,30,4489,0.67445,28,4691,0.674354,42,3558,0.850015
34,29,4376,0.671501,28,4514,0.67914,41,3467,0.846625
35,29,4226,0.675447,28,4360,0.682166,42,3380,0.843562
36,30,4134,0.671285,30,4212,0.685649,42,3260,0.850253
37,29,3988,0.67703,28,4092,0.685943,43,3202,0.842226
38,30,3931,0.668762,28,3989,0.684468,41,3103,0.846167
39,29,3779,0.677796,27,3878,0.685253,41,3021,0.846797
40,28,3694,0.676041,27,3776,0.685476,41,2923,0.853242
41,29,3633,0.670614,28,3708,0.680575,41,2852,0.853701
42,28,3519,0.675831,28,3616,0.680702,41,2778,0.855534
43,30,3456,0.672133,29,3527,0.681031,41,2714,0.855308
44,30,3374,0.672803,28,3465,0.677088,40,2645,0.857633
45,29,3293,0.674013,30,3400,0.674253,40,2573,0.861995
46,29,3218,0.674709,27,3296,0.679736,39,2534,0.856208
47,29,3148,0.675019,27,3213,0.681962,40,2483,0.855169
48,30,3079,0.675749,28,3139,0.683052,41,2412,0.86195
49,29,3025,0.673759,35,3084,0.680739,44,2357,0.86402
50,29,2930,0.681663,28,2980,0.689698,42,2313,0.862813
51,30,2867,0.682962,29,2932,0.686982,39,2257,0.866837
52,28,2825,0.679773,29,2887,0.683966,41,2220,0.864304
53,28,2765,0.681399,26,2835,0.683007,41,2192,0.858804
