order,B_time,BPlus_time,BStar_time
3,598,614,537
4,436,468,424
5,491,552,462
6,497,467,516
7,464,464,428
8,398,397,358
9,382,382,337
10,323,323,305
11,320,310,336
12,310,312,345
13,314,344,406
14,340,288,292
15,301,281,288
16,310,299,293
17,327,292,280
18,298,279,293
19,305,274,268
20,301,278,278
21,290,329,278
22,347,331,266
23,298,269,271
24,301,272,254
25,288,245,253
26,284,263,254
27,270,270,267
28,277,254,264
29,285,261,239
30,271,291,263
31,266,236,245
32,331,260,237
33,271,247,268
34,268,239,263
35,256,241,254
36,253,221,241
37,257,243,242
38,262,228,247
39,257,221,244
40,282,226,241
41,247,230,223
42,284,221,230
43,251,225,221
44,265,232,219
45,248,236,241
46,257,214,207
47,245,222,243
48,243,225,239
49,246,212,223
50,237,222,216
51,245,209,223
52,244,226,221
53,248,217,227
54,239,208,210
55,257,224,238
56,239,265,242
57,247,216,222
58,238,211,236
59,247,232,235
60,239,217,229
61,271,254,247
62,247,218,217
63,239,211,216
64,228,200,194
65,222,192,216
66,222,200,206
67,234,192,223
68,222,200,223
69,234,205,211
70,215,201,204
71,215,184,191
72,239,194,205
73,233,209,209
74,231,195,199
75,223,191,221
76,238,204,200
77,226,186,202
78,230,188,204
79,228,213,198
80,257,249,238
81,254,237,231
82,230,187,219
83,228,211,225
84,222,188,195
85,262,217,223
86,243,227,263
87,230,208,225
88,228,206,195
89,231,200,198
90,220,185,216
91,244,192,203
92,226,262,233
93,235,199,202
94,226,192,190
95,221,182,195
96,233,187,214
97,226,194,189
98,217,189,194
99,215,194,215
100,221,191,196
101,207,182,191
102,232,178,204
103,248,191,196
104,221,186,206
105,227,198,215
106,225,203,211
107,228,213,183
108,219,183,209
109,245,190,200
110,219,190,196
111,230,184,190
112,246,209,194
113,225,201,199
114,214,184,195
115,219,212,201
116,225,195,189
117,221,188,201
118,225,212,204
119,221,195,192
120,223,187,200
121,236,187,223
122,236,197,198
123,214,175,196
124,217,183,190
125,223,194,199
126,225,186,190
127,227,203,194
128,227,188,181
129,233,180,205
130,224,196,198
131,209,180,185
132,244,241,199
133,215,176,180
134,230,177,194
135,232,187,195
136,222,178,181
137,244,202,190
138,220,193,199
139,223,188,187
140,214,191,183
141,221,195,194
142,221,180,194
143,224,189,198
144,216,186,196
145,216,180,185
146,253,196,204
147,225,185,196
148,207,188,197
149,228,186,183
150,229,190,197
151,227,187,191
152,214,203,203
153,226,195,200
154,221,184,191
155,219,190,196
156,222,184,203
157,227,197,200
158,233,187,187
159,242,211,194
160,225,181,184
161,221,192,191
162,232,231,255
163,242,193,196
164,212,173,197
165,216,178,195
166,218,190,201
167,243,189,198
168,219,218,200
169,214,176,191
170,218,181,188
171,220,186,199
172,230,200,236
173,219,208,190
174,218,189,190
175,223,197,196
176,222,191,191
177,212,182,192
178,212,177,189
179,218,189,192
180,221,190,198
181,215,197,191
182,218,174,202
183,227,196,193
184,222,198,191
185,232,181,192
186,211,176,188
187,211,177,227
188,229,186,189
189,212,189,217
190,217,178,183
191,207,176,188
192,232,197,182
193,239,177,188
194,219,183,198
195,216,181,186
196,225,178,181
197,217,181,192
198,225,193,204
199,213,180,196
200,235,207,205
201,229,189,185
202,243,201,192
203,224,184,190
204,218,192,210
205,214,188,198
206,219,191,191
207,218,193,197
208,230,218,205
209,230,191,182
210,218,192,202
211,214,183,187
212,213,184,189
