order,avg length,B_time,BPlus_time,BStar_time
3,168877,84,58,73
4,168877,101,37,72
5,168877,55,23,40
6,168877,39,19,38
7,168877,43,24,28
8,168877,32,22,26
9,168877,31,21,24
10,168877,25,19,20
11,168877,22,14,19
12,168877,20,14,17
13,168877,18,13,15
14,168877,17,11,14
15,168877,15,10,13
16,168877,15,10,13
17,168877,14,10,12
18,168877,13,10,12
19,168877,13,9,11
20,168877,13,9,11
21,168877,13,9,11
22,168877,13,9,12
23,168877,12,8,10
24,168877,12,8,10
25,168877,11,8,10
26,168877,11,8,9
27,168877,11,8,9
28,168877,11,8,9
29,168877,10,7,9
30,168877,10,8,9
31,168877,10,7,9
32,168877,8,6,8
33,168877,8,6,9
34,168877,9,6,8
35,168877,8,6,8
36,168877,8,7,8
37,168877,8,6,8
38,168877,8,6,8
39,168877,8,6,8
40,168877,8,6,8
41,168877,8,6,8
42,168877,8,6,7
43,168877,8,6,8
44,168877,8,6,7
45,168877,8,6,7
46,168877,7,6,7
47,168877,7,6,7
48,168877,7,6,7
49,168877,8,6,7
50,168877,8,6,7
51,168877,8,6,7
52,168877,7,6,7
53,168877,7,6,7
54,168877,7,6,7
55,168877,7,6,7
56,168877,7,6,7
57,168877,7,6,7
58,168877,7,5,7
59,168877,7,6,7
60,168877,7,6,7
61,168877,7,6,7
62,168877,7,5,7
63,168877,7,6,7
64,168877,7,6,7
65,168877,7,6,7
66,168877,7,6,7
67,168877,7,6,7
68,168877,7,5,7
69,168877,7,6,7
70,168877,7,5,7
71,168877,7,6,7
72,168877,7,6,6
73,168877,7,6,7
74,168877,7,6,7
75,168877,7,6,7
76,168877,7,6,7
77,168877,7,6,7
78,168877,7,6,7
79,168877,7,5,7
80,168877,7,5,7
81,168877,7,5,7
82,168877,7,5,6
83,168877,7,6,6
84,168877,7,6,6
85,168877,7,6,6
86,168877,7,6,7
87,168877,7,5,7
88,168877,7,5,7
89,168877,6,6,7
90,168877,7,5,6
91,168877,6,5,6
92,168877,7,5,6
93,168877,7,5,6
94,168877,7,5,6
95,168877,7,6,6
96,168877,7,5,6
97,168877,6,5,6
98,168877,6,5,6
99,168877,6,5,6
100,168877,7,5,6
101,168877,7,5,6
102,168877,7,5,6
103,168877,7,5,6
104,168877,7,6,7
105,168877,6,5,6
106,168877,6,5,6
107,168877,6,5,6
108,168877,6,5,6
109,168877,6,5,6
110,168877,6,5,6
111,168877,7,5,6
112,168877,6,5,6
113,168877,6,6,6
114,168877,6,5,6
115,168877,6,5,6
116,168877,7,5,6
117,168877,6,5,6
118,168877,7,5,6
119,168877,6,5,6
120,168877,6,5,6
121,168877,6,5,6
122,168877,6,5,6
123,168877,6,5,6
124,168877,7,5,6
125,168877,6,5,6
126,168877,6,5,6
127,168877,6,5,6
128,168877,6,5,7
129,168877,7,5,6
130,168877,7,5,6
131,168877,7,5,6
132,168877,7,5,6
133,168877,6,5,6
134,168877,6,5,6
135,168877,6,5,6
136,168877,6,5,6
137,168877,6,5,6
138,168877,6,5,7
139,168877,6,5,6
140,168877,6,5,6
141,168877,6,5,6
142,168877,6,5,6
143,168877,6,5,6
144,168877,6,5,6
145,168877,6,5,6
146,168877,7,5,6
147,168877,6,5,7
148,168877,6,6,7
149,168877,7,6,7
150,168877,7,6,6
151,168877,6,6,7
152,168877,6,5,6
153,168877,6,5,7
154,168877,7,5,6
155,168877,7,5,6
156,168877,6,5,6
157,168877,6,5,7
158,168877,6,5,6
159,168877,6,5,6
160,168877,6,5,6
161,168877,7,5,6
162,168877,6,5,6
163,168877,6,5,6
164,168877,6,5,6
165,168877,6,5,6
166,168877,6,5,6
167,168877,6,5,6
168,168877,6,5,6
169,168877,6,5,6
170,168877,6,5,6
171,168877,6,5,6
172,168877,6,5,6
173,168877,6,5,6
174,168877,6,5,6
175,168877,6,6,6
176,168877,6,5,6
177,168877,6,5,6
178,168877,6,5,6
179,168877,6,5,6
180,168877,6,5,6
181,168877,6,5,6
182,168877,6,5,6
183,168877,6,5,6
184,168877,6,5,6
185,168877,6,5,6
186,168877,6,5,6
187,168877,6,5,6
188,168877,6,5,6
189,168877,6,5,6
190,168877,6,5,6
191,168877,6,5,6
192,168877,6,5,6
193,168877,6,5,6
194,168877,6,5,6
195,168877,6,5,6
196,168877,6,5,6
197,168877,6,5,6
198,168877,6,5,6
199,168877,6,5,6
200,168877,6,5,6
201,168877,6,5,6
202,168877,6,5,6
203,168877,6,5,6
204,168877,6,5,6
205,168877,6,5,6
206,168877,6,5,6
207,168877,6,5,6
208,168877,6,5,6
209,168877,6,5,6
210,168877,6,5,6
211,168877,6,5,6
212,168877,6,5,6
213,168877,6,5,6
214,168877,6,5,6
215,168877,6,5,6
216,168877,6,5,6
217,168877,6,5,6
218,168877,6,5,6
219,168877,6,5,6
220,168877,6,5,6
221,168877,6,5,6
222,168877,6,5,6
223,168877,6,5,6
224,168877,6,5,6
225,168877,6,5,6
226,168877,6,5,6
